,name,city,offices,geo,lat,lng,total_money_raised,founded_year,number_of_employees,category_code,description,overview,tag_list
8,headr,Berlin,"[{'description': '', 'address1': 'Ritterstr. 12-14', 'address2': '', 'zip_code': '10969', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5013449, 'longitude': 13.4109071}, {'description': '', 'address1': 'Fischerstr. 13', 'address2': '', 'zip_code': '30167', 'city': 'Hannover', 'state_code': None, 'country_code': 'DEU', 'latitude': None, 'longitude': None}]","{'type': 'Point', 'coordinates': [13.4109071, 52.5013449]}",52.5013449,13.4109071,$0,2012.0,8.0,web,Free Facebook video chat app.,"<p><a href=""http://vive.me/"" title=""vive"" rel=""nofollow"">vive</a> lets you video chat with your friends and meet amazing people on Facebook! Share your awesome, ask for advice, laugh and learn, be inspired!</p>",
196,fruux,Muenster,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '48143', 'city': 'Muenster', 'state_code': None, 'country_code': 'DEU', 'latitude': 51.9630088, 'longitude': 7.6267552}]","{'type': 'Point', 'coordinates': [7.6267552, 51.9630088]}",51.9630088,7.6267552,$0,2010.0,,web,"Syncs Contacts, calender and tasks","<p>fruux solves the problem of working with contacts, calendars and task across different devices in a cross-platform environment. The use of open standards such as CardDAV and CalDAV makes it easy to deploy across different devices and many different vendors. This also ensures that the user’s data does not suffer from vendor lock-in.</p>","sync, synchronize, contacts, calendars, events, tasks, adressbook, ios, carddav, caldav"
305,printium,Potsdam,"[{'description': 'HQ', 'address1': 'Behlertstrasse 3a', 'address2': '', 'zip_code': '14467', 'city': 'Potsdam', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.4055581, 'longitude': 13.0673441}]","{'type': 'Point', 'coordinates': [13.0673441, 52.4055581]}",52.4055581,13.0673441,$0,2009.0,3.0,enterprise,Global Publishing Platform,"<p>printium&#8217;s vision is to provide all players within the publishing industry with a global platform for interacting with each other. For this purpose we initially collected and validated data on more than 20.000 publishing houses, marketing agencies, print shops and suppliers manually. From other directories we separate ourselves through high data quality and a leading semantic search engine.</p>

<p>All new entries on printium are validated manually. By analyzing existing information on the web provider profiles are automatically enriched and thus can be found easier.</p>

<p>Our semantic search function provides a graphical navigation and thus allows for intuitively finding providers for even the most specific tasks.</p>

<p>At the end our objective is to generate global transparency for the publishing industry providing a fast and efficient way to get providers and customers in touch with each other.</p>

<p>printium is in public beta and will be officially launched shortly.</p>","print, publishing, community, global, directory"
325,expertnews,Hamburg,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '20146', 'city': 'Hamburg', 'state_code': None, 'country_code': 'DEU', 'latitude': 53.5688101, 'longitude': 9.9819779}]","{'type': 'Point', 'coordinates': [9.9819779, 53.5688101]}",53.5688101,9.9819779,$0,2009.0,1.0,web,,"<p>expertnews.me - follow news from experts you trust on topics you care</p>

<p>expertnews.me is an idea of the newspaper of the future. If this model succeeds, it can fundamentally shift the power in the news business from the publishing companies to the individual editors/authors/experts and can encourage quality journalism. expertnews.me also bridges the gap between &#8220;professional&#8221; journalists and &#8220;amateur&#8221; bloggers - you are either an &#8220;expert&#8221; for your topics or you are not based on your stories and not based on your pay check.  </p>

<p>expertnews uses a facebook-style feed-view to show users the news that are most relevant to them. Users can customize their feed by following experts (i.e. a single person from a newspaper or a complete blog) from the expert directory with a single click on &#8220;follow&#8221; or by adding their own experts. expertnews.me uses both the RSS-feed and twitter of the expert as data sources (more data sources (facebook, &#8230;) can be also be added later). </p>

<p>Main Features in overview:</p>

<ol>
<li>Follow news in a simple feed format (which you are used to from facebook)</li>
<li>Discover the best an most important sources/experts for your topics in the expert directory</li>
<li>Compile expert teams around specific topics (e.g. Hamburg or iphone development) and share them</li>
<li>Share and comment your stories easily via facebook and/or twitter</li>
</ol>

<p>Since expertnews.me has the technology to take out single experts/authors from a complete newspaper RSS-feeds, authors/experts/editors get more bargaining power: Users no longer &#8220;buy the newspaper&#8221; - they follow individual editors who they trust in specific topics. Users can be their own &#8220;publishing house&#8221; and compile their own editorial staff. If authors/experts change their employer, they will take their &#8220;followers&#8221; with them. Therefore since individual authors are more visible and rewarded by earning followers, quality journalism is encouraged. </p>

<p>In short: expertnews.me combines the best of twitter, RSS and a rated experts/authors directory. </p>

<ul>
<li>simplicity from twitter: follow experts by simply clicking on &#8220;follow&#8221; (easier than copy+paste RSS link)</li>
<li>rich data from google reader: Having pictures and a few more lines of text is nicer than a shortened url on twitter</li>
<li>&#8220;qype for authors/experts&#8221;: find the most relevant experts for your topics</li>
<li>social graph from twitter and facebook: no need to establish new &#8220;friendships&#8221;.</li>
</ul>

<p>just go to expertnews.me to check out an early alpha version</p>","news, twitter, rss, reader"
348,youserbase,Oldenburg,"[{'description': 'Headquarters', 'address1': 'Lindenallee 60', 'address2': '', 'zip_code': '26122', 'city': 'Oldenburg', 'state_code': None, 'country_code': 'DEU', 'latitude': 53.14967, 'longitude': 8.200653}]","{'type': 'Point', 'coordinates': [8.200653, 53.14967]}",53.14967,8.200653,$0,2009.0,2.0,network_hosting,Technology wiki,"<p>youserbase is a technology knowledge platform that provides technical information from users for users that can be compared, edited and rated.</p>","germany, oldenburg, wiki"
339,FindandSmile,Karlsruhe,"[{'description': '705 West GmbH', 'address1': 'Amalienbadstr 41', 'address2': '', 'zip_code': '76227', 'city': 'Karlsruhe', 'state_code': None, 'country_code': 'DEU', 'latitude': 48.9974246, 'longitude': 8.4649954}]","{'type': 'Point', 'coordinates': [8.4649954, 48.9974246]}",48.9974246,8.4649954,$0,2009.0,2.0,web,Free Online Dating,"<p>Find&amp;Smile introduces Free Online Dating to Germany. Now 7 billion regular German users of dating services, can find an alternative choice to the established paid service offerings.</p>","dating, free, online-dating, dating-site, free-dating"
338,scoyo,Hamburg,"[{'description': 'scoyo GmbH', 'address1': 'GroÃŸer Burstah 50-52', 'address2': '', 'zip_code': '20457', 'city': 'Hamburg', 'state_code': None, 'country_code': 'DEU', 'latitude': 53.5622698, 'longitude': 9.9490139}]","{'type': 'Point', 'coordinates': [9.9490139, 53.5622698]}",53.5622698,9.9490139,$0,2009.0,13.0,games_video,gamebased learning platform for children,"<p>scoyo is an innovative online learning platform for kids that makes learning fun. </p>

<p>Kids in grades 1 to 7 can work and play their way through exciting learning worlds. These worlds have a background story, a common cast of characters and settings. Each lesson can be accessed in sequence or on its own. And each episode has an exciting mission for kids to complete or a problem to solve.</p>

<p>The learning contents are based on the curricula of all 16 German federal states to meet the individual learning needs of each child. Studies have proven that children showed significant learning progress after using scoyo.</p>

<p>scoyo is a subsidiary of Bertelsmann.</p>","e-learning, gamebasedlearning, seriousgames, edutainment"
279,yiid,Weinheim,"[{'description': 'yiid', 'address1': 'Grundelbachstr. 84', 'address2': '', 'zip_code': '69469', 'city': 'Weinheim', 'state_code': None, 'country_code': 'DEU', 'latitude': 49.5507557, 'longitude': 8.6759098}]","{'type': 'Point', 'coordinates': [8.6759098, 49.5507557]}",49.5507557,8.6759098,$0,2009.0,9.0,web,Social Media Monitor and Identity Hub,"<p>Your Internet ID has the only flexible Like and Dislike Button with multiple Browser Extensions and Plugins for different systems.
Yiid.com shows the Graph of Taste build by a Livestream of Likes and Dislikes coming out of all the networks.</p>

<p>Switched to Spread.ly on March 10 2011</p>","openweb, openid, dataportability, microformats, portable-contacts"
299,Webteilchen,Berlin,"[{'description': 'Webteilchen Berlin', 'address1': 'Greifswalder Str. 4', 'address2': '', 'zip_code': '10779', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5296736, 'longitude': 13.6281888}]","{'type': 'Point', 'coordinates': [13.6281888, 52.5296736]}",52.5296736,13.6281888,$0,2009.0,2.0,web,Web Services & Online Marketing,"<p>A German agency for online marketing, Search engine optimization, webdesign, coprorate identity. The office is near Alexander Platz (Berlin-Mitte).</p>","online-marketing, web-service, web-services, programming, php, mysql, ajax, zend-framework, seo, search-engine-optimization, search-engine-marketing, webdesign, web, online, marketing, germany, berlin, corporate-identy, myspace-design, web-design"
283,Gate 53|10 Technologies,Hamburg,"[{'description': 'Headquarters', 'address1': 'Arndtstr 18-20', 'address2': '', 'zip_code': '22085', 'city': 'Hamburg', 'state_code': None, 'country_code': 'DEU', 'latitude': 53.5736401, 'longitude': 10.0184565}]","{'type': 'Point', 'coordinates': [10.0184565, 53.5736401]}",53.5736401,10.0184565,€141k,2009.0,4.0,web,Enhanced web browsing,"<p>At GATE 53|10 we develop and market Fytch, available at http://fytch.com. Fytch creates a radical change for the Internet, it redefines the way people browse the Internet in response to their needs.</p>

<p>Fytch is a Web-based tool that empowers people to write, read and share comments at any web site. Immediately while browsing, without leaving the page they are on. Using Fytch, people all around the world easily share their thoughts, opinions, ideas and reviews. Directly available at the website where their comments refer to. The nitty-gritty: No download, no installation. It&#8217;s simply a bookmark in the browser&#8217;s bookmark bar. </p>

<p>GATE 53|10 was founded in March 2009 by Thorsten Singhofen and Oliver Krohne and is headquartered at 53Â°North 10Â° East - which translates into Hamburg, Germany.</p>","affiliate-aggregation, content-monetization, affiliate-optimization"
